asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B0CTD42NJZ,"SAMSUNG Galaxy A15 5G (SM-156M/DSN), 256GB 8GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",183.69,199.0,4.3,146,7,176.35,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B0DFB9SNBR,TCL ION Z Unlock Smartphone 4G LTE 32GB - Black,39.0,39.0,4.083860759493671,0,1,39.0,False,False,False,False,50,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25,False
B0D9N1517Y,"I14 Pro Max Unlocked Smartphone, 6+256GB, Android 13.0 Unlocked Cell Phones, 6.82&quot; HD Screen Battery 6800mAH with 128GB Memory Card/Face ID/Fingerprint Lock/Dual SIM 5G Phone (Blue)",158.99,158.99,4.7,7,1,158.99,False,False,False,False,100,FREE delivery,False
B09X7F2GCG,"TracFone TCL Flip 2, 8GB, Black - Prepaid Flip Phone (Locked)",19.99,19.99,4.0,823,1,19.99,False,False,True,False,1000,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False
B08PPDJWC8,"Apple iPhone 12 Mini, 64GB, Black - Unlocked (Renewed)",232.0,232.0,4.1,13191,16,203.31,False,False,False,True,2000,"FREE delivery Tomorrow, Sep 20",True
B0CLHJZJZB,"Samsung Galaxy S23 Fan Edition(FE) 5G (SM-S711B/DS) Dual SIM,256GB + 8GB, Factory Unlocked, International Version - No Warranty - (Purple)",479.72,479.72,4.3,39,3,429.5,False,False,False,False,50,"FREE delivery Sep 24 - 26 Or fastest delivery Tomorrow, Sep 20 Only 1 left in stock - order soon.",False
B08H8X23ZB,Google Pixel 5 - 5G Android Phone - Water Resistant - Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,284.99,284.99,4.4,3432,6,149.95,False,False,True,False,100,"FREE delivery Wed, Sep 25 Only 9 left in stock - order soon.",True
B0C1Q3MVBP,"Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)",98.52,172.0,3.7,762,23,88.98,False,False,True,False,2000,"FREE delivery Tue, Sep 24",False
B0CCT2BR1J,Tracfone Samsung Galaxy A14 5G Locked 64GB 5000mAh Battery 50 MP triple-camera system 6.6-in. FHD+ LCD Display Black,99.88,119.99,4.2,308,2,64.99,False,False,True,False,200,"FREE delivery Tue, Sep 24",False
B08VLMQ3KS,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",209.99,249.0,3.9,6272,5,164.99,False,False,False,True,2000,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 20 left in stock - order soon.",False
B0CGWF3F64,"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Summer Lilac, 73.95 x 170.82 x 7.35mm",699.99,699.99,4.0,440,2,331.64,False,False,True,False,200,"FREE delivery Tue, Sep 24",True
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",88.82,98.27,3.8,1338,31,70.4,False,False,False,False,500,FREE delivery Sep 23 - 24 Only 1 left in stock - order soon.,False
